JobTitle,DepartmentRaw,Location,Visa,YoE,DepartmentClean
Research Scientist,(ML / non-ML) Software Engineering,San Francisco Bay Area,No,1-3,Engineering
Agency Partner Manager,Account Management/Sales,"Austin, TX",No,4-6,Sales
General Ledger Accountant,Accounting,San Francisco Bay Area,No,4-6,Other
Executive Administrative Partner,Admin,Miami,No,10+,Other
Partner Solutions Manager,"Ads Partnerships, Product",Singapore,Yes,10+,Product
Quantitative Researcher,"Ads Research (user control, trust&transparency, 1PD)","Bay Area, CA",Yes,1-3,Data Science
Technical Sourcer,AI/ML Engineering,Singapore,Yes,7-10,Recruiting
Analytics Manager,Analytics,New York,No,7-10,Data Science
Senior Staff Quantitative UX Researcher,Analytics / UXR,"San Francisco, CA, USA",No,7-10,Data Science
Marketing Science Partner,"Analytics, Marketing measurement, Design Experiment, Python, SQL, Tableau",Singapore,No,1-3,Data Science
Data Analyst,"Analytics, Reporting, Deep dives, Insights, SQL, R","Seattle, Remote",No,10+,Data Science
Partner Health Analyst,"Analytics, Vendor Operations",Singapore,No,7-10,Data Science
"Manager, Commerce Integrity",Analytics/Operations,Singapore,No,10+,Data Science
Software Engineer,Backend Engineering,"Boston, MA",Yes,4-6,Engineering
Software Engineer,"Backend, Frontend, Data engineer",San Francisco,Yes,1-3,Engineering
Senior Software Engineer,Backend/Full stack/ML infra,SF Bay Area,Yes,7-10,Engineering
"Product Marketing Manager, eCommerce",BPM Dev,Denver,No,10+,Marketing
ESG Marketing Manager,Brand Marketing,Sao Paulo,No,10+,Marketing
"Recruiter, CoreBiz","Business (Recruitment, HR, Legal, Policy, Admin, etc.)",London,No,7-10,Recruiting
Music Label Business Development Manager,Business Development,New York,Yes,10+,Other
Partner Innovation and Program Manager,Business Development/Partnerships,Remote,No,10+,Partnerships
Leadership Candidate Experience Coordinator (Director/VP hiring - Biz),Business Leadership across all non-tech roles,London,No,10+,Other
Business Learning Partner,"Business Learning, Sales, Account Management","Austin, Texas",No,4-6,Sales
Creative Strategist & Head of Social,"Business marketing, content development, social media",New York,No,4-6,Marketing
Business Analyst,Business Operations,"San Francisco, Ca",No,1-3,Operations
Business Planning & Operations Lead,Business Operations & Strategy,"New York, NY",No,4-6,Operations
"Head of Org Planning Analytics, Media Partnerships","Business Planning, Operations, and Analytics",New York,No,7-10,Data Science
Data Analyst,Business Product Engineering,San Francisco,Yes,4-6,Engineering
Administrative Partner,Business Product Marketing department,Singapore,No,10+,Marketing
Perception Systems Engineer,"Calibration, Computer Vision, Optics, Perception, Systems Engineering","Redmond,WA",Yes,7-10,Engineering
Candidate Experience Lead,Candidate Experience (Recruiting),Remote UK,No,10+,Recruiting
Executive communications,Comms,Seattle/remote,No,7-10,Communications
Program Manager,Comms & Public Affairs,SF/Bay Area,No,10+,Communications
